Time,PV_Power_W,PV_Voltage_V,Batt_SOC_Pct,Batt_Voltage_V,Total_Energy_kWh
2026-02-19 11:21:14.407651,6.21,18.1,96.0,13.8,0.08
2026-02-19 11:26:46.076639,5.65,18.77,96.0,13.8,0.08
2026-02-19 11:32:05.659100,5.38,18.68,96.0,13.8,0.08
2026-02-19 11:37:36.699331,5.93,18.72,96.0,13.8,0.08
2026-02-19 11:42:40.511888,5.38,18.27,96.0,13.8,0.08
2026-02-19 11:47:43.880180,5.37,15.48,95.0,13.77,0.08
2026-02-19 11:52:47.341489,6.21,16.31,96.0,13.8,0.08
2026-02-19 11:57:51.873200,5.93,16.14,96.0,13.8,0.08
2026-02-19 12:03:00.868621,4.79,15.39,93.0,13.71,0.08
2026-02-19 12:08:31.933222,3.25,15.23,88.0,13.58,0.08
2026-02-19 12:13:39.084412,2.68,14.98,82.0,13.41,0.08
2026-02-19 12:19:09.224377,5.48,15.02,80.0,13.37,0.08
2026-02-19 12:24:40.142694,5.51,15.1,83.0,13.45,0.08
2026-02-19 12:29:46.463583,5.51,15.14,83.0,13.45,0.08
2026-02-19 12:34:50.901252,3.2,14.98,80.0,13.37,0.08
2026-02-19 12:39:54.940481,2.64,14.77,74.0,13.2,0.08
2026-02-19 12:45:26.470972,2.88,16.98,72.0,13.13,0.08
2026-02-19 12:50:31.356393,3.13,15.48,70.0,13.07,0.08
2026-02-19 12:56:02.514577,0.0,18.52,67.0,13.01,0.08
2026-02-19 13:01:06.954892,0.0,18.47,67.0,12.99,0.08
2026-02-19 13:06:12.831840,2.59,17.27,66.0,12.96,0.08
2026-02-19 13:11:33.855631,4.81,15.44,67.0,13.01,0.09
2026-02-19 13:16:42.693539,4.82,16.89,69.0,13.05,0.09
2026-02-19 13:21:47.484916,4.82,15.89,69.0,13.05,0.09
2026-02-19 13:26:59.489889,3.11,16.39,67.0,12.99,0.09
2026-02-19 13:32:05.572023,1.81,17.39,65.0,12.94,0.09
2026-02-19 13:37:22.870670,0.77,17.77,65.0,12.94,0.09
2026-02-19 13:42:26.484939,5.06,16.02,67.0,12.99,0.09
2026-02-19 13:47:51.527507,4.29,15.19,68.0,13.03,0.09
2026-02-19 13:52:54.706490,0.77,17.97,65.0,12.96,0.09
2026-02-19 13:58:01.289818,3.1,16.14,66.0,12.94,0.09
2026-02-19 14:03:11.657026,2.58,14.52,64.0,12.92,0.09
2026-02-19 14:08:42.674918,0.0,17.64,63.0,12.9,0.09
2026-02-19 14:14:13.680917,1.03,14.65,63.0,12.88,0.09
2026-02-19 14:19:21.389874,1.03,15.19,63.0,12.88,0.09
2026-02-19 14:24:27.807447,0.0,17.73,63.0,12.9,0.09
2026-02-19 14:29:41.556219,2.84,15.19,65.0,12.94,0.09
2026-02-19 14:34:52.522168,4.54,15.23,67.0,12.99,0.09
2026-02-19 14:39:56.036687,4.82,15.98,68.0,13.03,0.09
2026-02-19 14:44:58.769603,0.0,18.39,67.0,12.99,0.09
2026-02-19 14:50:20.375833,5.34,14.98,68.0,13.03,0.09
2026-02-19 14:55:38.221187,6.94,15.81,71.0,13.11,0.09
2026-02-19 15:01:13.995792,11.05,15.23,84.0,13.48,0.09
2026-02-19 15:06:45.059294,15.19,18.18,100.0,14.2,0.09
2026-02-19 15:12:04.488122,11.92,16.56,100.0,14.2,0.09
2026-02-19 15:17:15.029002,9.94,17.27,100.0,14.2,0.09
2026-02-19 15:22:23.038159,5.15,15.64,100.0,13.94,0.09
2026-02-19 15:27:30.659092,3.56,15.35,93.0,13.73,0.09
2026-02-19 15:32:45.941040,3.52,15.19,87.0,13.56,0.1
2026-02-19 15:38:17.022113,2.14,14.94,81.0,13.39,0.1
2026-02-19 15:43:48.085653,0.0,17.77,73.0,13.18,0.1
