Time,PV_Power_W,PV_Voltage_V,Batt_SOC_Pct,Batt_Voltage_V,Total_Energy_kWh
2026-02-20 11:05:46.237643,3.52,15.19,87.0,13.56,0.11
2026-02-20 11:10:46.246351,3.53,15.19,88.0,13.58,0.11
2026-02-20 11:15:46.241620,3.8,15.23,88.0,13.58,0.11
2026-02-20 11:20:46.247810,3.8,15.23,88.0,13.58,0.11
2026-02-20 11:25:46.247169,3.8,15.23,89.0,13.6,0.11
2026-02-20 11:30:46.247852,4.21,15.27,89.0,13.6,0.11
2026-02-20 11:35:46.242002,4.21,15.27,89.0,13.6,0.11
2026-02-20 11:40:46.242918,4.22,15.27,89.0,13.62,0.11
2026-02-20 11:45:46.241431,4.22,15.27,89.0,13.62,0.11
2026-02-20 11:50:46.245088,4.5,15.31,90.0,13.65,0.11
2026-02-20 11:55:46.244082,4.5,15.31,90.0,13.65,0.11
2026-02-20 12:00:46.246422,4.78,15.31,91.0,13.67,0.11
2026-02-20 12:05:46.246759,4.51,15.31,91.0,13.67,0.11
2026-02-20 12:10:46.243146,4.79,15.35,92.0,13.69,0.11
2026-02-20 12:15:46.243026,4.79,15.35,92.0,13.69,0.11
2026-02-20 12:20:46.243026,5.07,15.39,93.0,13.71,0.11
