Time,PV_Power_W,PV_Voltage_V,Batt_SOC_Pct,Batt_Voltage_V,Total_Energy_kWh
2026-02-16 10:28:46.923711,4.32,16.31,70.0,13.11,0.01
2026-02-16 10:33:47.203046,2.91,16.77,76.0,13.26,0.01
2026-02-16 10:38:47.425357,4.43,15.06,82.0,13.43,0.01
2026-02-16 10:43:47.643079,4.19,15.14,85.0,13.52,0.01
2026-02-16 10:48:47.860545,4.2,15.19,87.0,13.56,0.01
2026-02-16 10:53:48.089027,4.2,15.23,88.0,13.58,0.01
2026-02-16 10:58:48.325568,4.21,15.23,88.0,13.6,0.01
2026-02-16 11:03:48.593633,4.22,15.27,89.0,13.62,0.01
2026-02-16 11:08:48.831652,4.49,15.27,89.0,13.62,0.01
2026-02-16 11:13:49.082368,4.5,15.27,90.0,13.65,0.01
2026-02-16 11:18:49.331606,4.78,15.31,91.0,13.67,0.01
2026-02-16 11:23:49.561039,4.78,15.35,91.0,13.67,0.01
2026-02-16 11:31:19.840543,5.07,15.35,92.0,13.71,0.01
2026-02-16 11:36:20.070002,5.08,15.39,93.0,13.73,0.01
2026-02-16 11:41:20.325567,5.08,15.44,94.0,13.75,0.01
2026-02-16 11:46:20.533451,5.37,15.44,95.0,13.77,0.01
2026-02-16 11:51:20.771860,5.65,15.48,96.0,13.8,0.01
2026-02-16 11:56:21.011892,5.95,15.52,97.0,13.84,0.01
2026-02-16 12:01:21.250184,5.96,15.6,99.0,13.88,0.01
2026-02-16 12:06:21.479108,5.98,15.6,100.0,13.92,0.01
2026-02-16 12:11:21.734206,6.29,15.69,100.0,13.99,0.01
2026-02-16 12:16:21.970807,6.59,15.77,100.0,14.03,0.02
2026-02-16 12:21:22.224439,6.9,15.81,100.0,14.09,0.02
2026-02-16 12:26:22.472402,6.93,15.89,100.0,14.16,0.02
2026-02-16 12:33:52.753797,5.81,17.18,100.0,14.18,0.02
2026-02-16 12:38:53.008729,6.39,17.02,100.0,14.2,0.02
2026-02-16 12:43:53.263533,5.25,17.52,100.0,14.2,0.02
2026-02-16 12:48:53.544761,5.24,17.68,100.0,14.18,0.02
2026-02-16 12:53:53.774758,4.68,17.73,100.0,14.2,0.02
2026-02-16 12:58:54.005266,4.4,17.85,100.0,14.2,0.02
2026-02-16 13:03:54.235766,3.4,17.97,100.0,14.2,0.02
2026-02-16 13:08:54.472604,3.97,17.93,100.0,14.2,0.02
2026-02-16 13:13:54.711415,5.25,17.85,100.0,14.2,0.02
2026-02-16 13:18:54.951885,3.4,18.14,100.0,14.2,0.02
2026-02-16 13:23:55.217874,3.4,18.22,100.0,14.18,0.02
2026-02-16 13:28:55.451641,2.55,18.43,100.0,14.18,0.02
2026-02-16 13:36:25.730406,3.4,18.39,100.0,14.2,0.02
2026-02-16 13:41:25.962024,1.98,18.85,100.0,14.18,0.02
2026-02-16 13:46:26.198284,0.56,19.27,100.0,14.2,0.02
2026-02-16 13:51:26.433636,2.55,19.35,100.0,14.18,0.02
2026-02-16 13:56:26.677671,10.22,19.1,100.0,14.2,0.02
2026-02-16 14:01:26.947613,0.0,19.43,100.0,14.18,0.02
2026-02-16 14:06:27.190328,3.4,19.27,100.0,14.2,0.02
2026-02-16 14:11:27.422137,2.84,19.39,100.0,14.2,0.02
2026-02-16 14:16:27.663543,0.0,19.39,100.0,14.18,0.02
2026-02-16 14:21:27.898125,0.0,19.31,100.0,13.99,0.02
2026-02-16 14:26:28.132286,0.0,18.64,97.0,13.82,0.02
2026-02-16 14:31:28.370861,0.0,19.47,96.0,13.8,0.02
2026-02-16 14:38:58.671724,0.0,19.47,96.0,13.8,0.02
2026-02-16 14:43:58.908839,0.0,19.51,96.0,13.8,0.02
2026-02-16 14:48:59.152745,0.0,19.43,96.0,13.8,0.02
2026-02-16 14:53:59.397408,0.0,19.51,95.0,13.77,0.02
2026-02-16 14:58:59.632729,0.0,19.51,96.0,13.8,0.02
2026-02-16 15:03:59.873004,0.0,19.51,96.0,13.8,0.02
2026-02-16 15:09:00.104168,0.0,19.47,96.0,13.8,0.02
2026-02-16 15:14:00.351900,0.0,19.51,95.0,13.77,0.02
2026-02-16 15:19:00.581261,0.0,19.22,96.0,13.8,0.02
2026-02-16 15:24:00.811990,0.0,19.51,96.0,13.8,0.02
2026-02-16 15:29:01.042722,0.0,19.39,96.0,13.8,0.02
2026-02-16 15:34:01.271342,2.76,19.39,96.0,13.8,0.02
2026-02-16 15:41:31.547828,0.0,19.51,96.0,13.8,0.02
2026-02-16 15:46:31.769388,0.0,19.51,96.0,13.8,0.02
2026-02-16 15:51:31.996118,0.0,19.51,96.0,13.8,0.02
2026-02-16 15:56:32.251001,0.0,19.51,96.0,13.8,0.02
2026-02-16 16:01:32.490131,2.76,19.31,96.0,13.8,0.02
2026-02-16 16:06:32.723350,0.0,19.51,96.0,13.8,0.02
2026-02-16 16:11:32.956395,0.0,19.47,96.0,13.8,0.02
2026-02-16 16:16:33.193902,4.54,18.47,95.0,13.77,0.02
2026-02-16 16:21:33.424160,0.0,18.64,96.0,13.8,0.02
2026-02-16 16:26:33.660663,0.0,18.56,96.0,13.8,0.02
2026-02-16 16:31:33.921617,0.0,18.56,96.0,13.8,0.02
2026-02-16 16:36:34.148791,0.0,18.72,96.0,13.8,0.02
2026-02-16 16:42:49.700789,3.58,18.64,96.0,13.8,0.02
2026-02-16 16:47:49.929300,5.65,15.48,96.0,13.8,0.02
2026-02-16 16:52:50.163197,0.0,18.47,96.0,13.8,0.02
2026-02-16 16:57:50.398470,0.0,18.89,96.0,13.8,0.02
2026-02-16 17:02:50.607763,0.0,18.56,96.0,13.8,0.02
